date,perlis,kedah,pulau-pinang,perak,selangor,wp-kuala-lumpur,wp-putrajaya,negeri-sembilan,melaka,johor,pahang,terengganu,kelantan,sabah,wp-labuan,sarawak
2020-01-25,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2020-02-06,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-02-15,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,7,3,1,2,0,1,0,0,0,0,0,0
2020-03-05,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,1,0,21,5,0,0,0,1,0,0,0,0,0,0
2020-03-07,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0
2020-03-08,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,11,6,0,1,0,0,0,0,0,0,0,0
2020-03-10,0,0,1,0,10,0,0,1,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,9,4,0,2,1,3,1,0,0,0,0,0
2020-03-12,0,0,0,0,3,2,0,2,0,1,0,0,0,1,0,0
2020-03-13,1,2,5,2,1,3,0,1,0,4,1,0,3,14,2,0
2020-03-14,1,0,0,0,6,2,,8,5,2,0,0,0,11,0,6
2020-03-15,4,16,6,10,18,45,1,11,7,23,7,0,3,23,2,14
2020-03-16,3,6,5,6,24,23,3,13,1,7,10,4,12,8,0,0
2020-03-17,0,2,10,6,18,8,0,3,3,25,2,3,6,25,0,9
2020-03-18,0,6,5,7,15,6,1,1,1,13,11,3,6,21,1,20
2020-03-19,1,4,0,5,42,6,0,11,2,13,0,2,13,9,0,2
2020-03-20,0,1,5,10,38,18,0,9,2,13,4,8,8,7,0,7
